DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-11-10 23:00:00,5.059,5.059,5.059,5.059,0.0
2022-11-11 23:00:00,5.032,5.032,5.032,5.032,0.0
2022-11-14 23:00:00,5.001,5.001,5.001,5.001,0.0
2022-11-15 23:00:00,5.057,5.057,5.057,5.057,0.0
2022-11-16 23:00:00,5.056,5.056,5.056,5.056,0.0
2022-11-17 23:00:00,5.061,5.061,5.061,5.061,0.0
2022-11-18 23:00:00,5.048,5.048,5.048,5.048,0.0
2022-11-21 23:00:00,5.003,5.003,5.003,5.003,0.0
2022-11-22 23:00:00,4.987,4.987,4.987,4.987,0.0
2022-11-23 23:00:00,4.996,4.996,4.996,4.996,0.0
2022-11-25 23:00:00,4.99,4.99,4.99,4.99,0.0
2022-11-28 23:00:00,5.043,5.043,5.043,5.043,0.0
2022-11-29 23:00:00,5.075,5.075,5.075,5.075,0.0
2022-11-30 23:00:00,5.051,5.051,5.051,5.051,0.0
2022-12-01 23:00:00,5.031,5.031,5.031,5.031,0.0
2022-12-02 23:00:00,5.027,5.027,5.027,5.027,0.0
2022-12-05 23:00:00,5.035,5.035,5.035,5.035,0.0
2022-12-06 23:00:00,5.048,5.048,5.048,5.048,0.0
2022-12-07 23:00:00,5.053,5.053,5.053,5.053,0.0
2022-12-08 23:00:00,5.098,5.098,5.098,5.098,0.0
2022-12-09 23:00:00,5.102,5.102,5.102,5.102,0.0
2022-12-12 23:00:00,5.166,5.166,5.166,5.166,0.0
2022-12-13 23:00:00,5.154,5.154,5.154,5.154,0.0
2022-12-14 23:00:00,5.152,5.152,5.152,5.152,0.0
2022-12-15 23:00:00,5.193,5.193,5.193,5.193,0.0
2022-12-16 23:00:00,5.284,5.284,5.284,5.284,0.0
2022-12-19 23:00:00,5.292,5.292,5.292,5.292,0.0
2022-12-20 23:00:00,5.287,5.287,5.287,5.287,0.0
2022-12-21 23:00:00,5.199,5.199,5.199,5.199,0.0
2022-12-22 23:00:00,5.116,5.116,5.116,5.116,0.0
2022-12-23 23:00:00,5.114,5.114,5.114,5.114,0.0
2022-12-27 23:00:00,5.2,5.2,5.2,5.2,0.0
2022-12-28 23:00:00,5.122,5.122,5.122,5.122,0.0
2022-12-29 23:00:00,5.113,5.113,5.113,5.113,0.0
2022-12-30 23:00:00,5.122,5.122,5.122,5.122,0.0
2023-01-03 23:00:00,5.068,5.068,5.068,5.068,0.0
2023-01-04 23:00:00,5.071,5.071,5.071,5.071,0.0
2023-01-05 23:00:00,4.993,4.993,4.993,4.993,0.0
2023-01-06 23:00:00,4.937,4.937,4.937,4.937,0.0
2023-01-09 23:00:00,4.945,4.945,4.945,4.945,0.0
2023-01-10 23:00:00,4.969,4.969,4.969,4.969,0.0
2023-01-11 23:00:00,4.935,4.935,4.935,4.935,0.0
2023-01-12 23:00:00,4.934,4.934,4.934,4.934,0.0
2023-01-13 23:00:00,4.943,4.943,4.943,4.943,0.0
2023-01-17 23:00:00,4.959,4.959,4.959,4.959,0.0
2023-01-18 23:00:00,4.982,4.982,4.982,4.982,0.0
2023-01-19 23:00:00,5.022,5.022,5.022,5.022,0.0
2023-01-20 23:00:00,5.026,5.026,5.026,5.026,0.0
2023-01-23 23:00:00,5.029,5.029,5.029,5.029,0.0
2023-01-24 23:00:00,4.998,4.998,4.998,4.998,0.0
2023-01-25 23:00:00,4.941,4.941,4.941,4.941,0.0
2023-01-26 23:00:00,4.948,4.948,4.948,4.948,0.0
2023-01-27 23:00:00,4.939,4.939,4.939,4.939,0.0
2023-01-30 23:00:00,4.86,4.86,4.86,4.86,0.0
2023-01-31 23:00:00,4.871,4.871,4.871,4.871,0.0
2023-02-01 23:00:00,4.728,4.728,4.728,4.728,0.0
2023-02-02 23:00:00,4.708,4.708,4.708,4.708,0.0
2023-02-03 23:00:00,4.611,4.611,4.611,4.611,0.0
2023-02-10 23:00:00,4.614,4.614,4.614,4.614,0.0
2023-02-13 23:00:00,4.557,4.557,4.557,4.557,0.0
2023-02-14 23:00:00,4.558,4.558,4.558,4.558,0.0
2023-02-15 23:00:00,4.553,4.553,4.553,4.553,0.0
2023-02-16 23:00:00,4.553,4.553,4.553,4.553,0.0
2023-02-17 23:00:00,4.539,4.539,4.539,4.539,0.0
2023-02-21 23:00:00,4.539,4.539,4.539,4.539,0.0
2023-02-22 23:00:00,4.55,4.55,4.55,4.55,0.0
2023-02-23 23:00:00,4.584,4.584,4.584,4.584,0.0
2023-02-24 23:00:00,4.643,4.643,4.643,4.643,0.0
2023-02-27 23:00:00,4.685,4.685,4.685,4.685,0.0
2023-02-28 23:00:00,4.733,4.733,4.733,4.733,0.0
2023-03-01 23:00:00,4.814,4.814,4.814,4.814,0.0
2023-03-02 23:00:00,4.822,4.822,4.822,4.822,0.0
2023-03-03 23:00:00,4.862,4.862,4.862,4.862,0.0
2023-03-06 23:00:00,4.896,4.896,4.896,4.896,0.0
2023-03-07 23:00:00,4.929,4.929,4.929,4.929,0.0
2023-03-08 23:00:00,4.892,4.892,4.892,4.892,0.0
2023-03-09 23:00:00,4.708,4.708,4.708,4.708,0.0
2023-03-10 23:00:00,4.826,4.826,4.826,4.826,0.0
2023-03-13 23:00:00,4.837,4.837,4.837,4.837,0.0
2023-03-14 23:00:00,4.908,4.908,4.908,4.908,0.0
2023-03-15 23:00:00,4.863,4.863,4.863,4.863,0.0
2023-03-16 23:00:00,4.905,4.905,4.905,4.905,0.0
2023-03-17 23:00:00,4.898,4.898,4.898,4.898,0.0
2023-03-20 23:00:00,4.857,4.857,4.857,4.857,0.0
2023-03-21 23:00:00,4.906,4.906,4.906,4.906,0.0
2023-03-22 23:00:00,4.86,4.86,4.86,4.86,0.0
2023-03-23 23:00:00,4.895,4.895,4.895,4.895,0.0
2023-03-24 23:00:00,4.858,4.858,4.858,4.858,0.0
2023-03-27 23:00:00,4.837,4.837,4.837,4.837,0.0
2023-03-28 23:00:00,4.795,4.795,4.795,4.795,0.0
2023-03-29 23:00:00,4.792,4.792,4.792,4.792,0.0
2023-03-30 23:00:00,4.8,4.8,4.8,4.8,0.0
2023-03-31 23:00:00,4.793,4.793,4.793,4.793,0.0
2023-04-03 23:00:00,4.801,4.801,4.801,4.801,0.0
2023-04-04 23:00:00,4.813,4.813,4.813,4.813,0.0
2023-04-05 23:00:00,4.786,4.786,4.786,4.786,0.0
2023-04-06 23:00:00,4.742,4.742,4.742,4.742,0.0
2023-04-10 23:00:00,4.804,4.804,4.804,4.804,0.0
2023-04-11 23:00:00,4.814,4.814,4.814,4.814,0.0
2023-04-12 23:00:00,4.74,4.74,4.74,4.74,0.0
2023-04-13 23:00:00,4.708,4.708,4.708,4.708,0.0
2023-04-14 23:00:00,4.728,4.728,4.728,4.728,0.0
2023-04-17 23:00:00,4.794,4.794,4.794,4.794,0.0
2023-04-18 23:00:00,4.792,4.792,4.792,4.792,0.0
2023-04-19 23:00:00,4.814,4.814,4.814,4.814,0.0
2023-04-20 23:00:00,4.846,4.846,4.846,4.846,0.0
2023-04-21 23:00:00,4.853,4.853,4.853,4.853,0.0
2023-04-24 23:00:00,4.864,4.864,4.864,4.864,0.0
2023-04-25 23:00:00,4.862,4.862,4.862,4.862,0.0
2023-04-26 23:00:00,4.855,4.855,4.855,4.855,0.0
2023-04-27 23:00:00,4.859,4.859,4.859,4.859,0.0
2023-04-28 23:00:00,4.878,4.878,4.878,4.878,0.0
2023-05-01 23:00:00,4.835,4.835,4.835,4.835,0.0
2023-05-02 23:00:00,4.831,4.831,4.831,4.831,0.0
2023-05-03 23:00:00,4.853,4.853,4.853,4.853,0.0
